Job Title,,Required Skills, Salary Range ,Location,Company,,Industry,,
Network Administrator Trainee,,"Networking, Training"," £25,000 - £35,000 ",Manchester,Network Admin Trainees,,Networking,,
Cloud Solutions Intern,,"Cloud Computing, Internship"," £20,000 - £30,000 ",Birmingham,Cloud Interns,,Cloud,,
Data Engineer,,"Big Data, Python, SQL"," £55,000 - £85,000 ",Cardiff,Data Innovators,,Data Engineering,,
Software Developer,,"Java, C++, Software Design"," £50,000 - £80,000 ",Leeds,CodeCrafters,,Software Development,,
IT Analyst,,"IT Analysis, Troubleshooting"," £40,000 - £65,000 ",Birmingham,IT Insights,,IT Analysis,,
Cloud Solutions Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",Manchester,Cloud Architects,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Analysis"," £50,000 - £80,000 ",Edinburgh,SecureGuard,,Security,,
IT Project Manager,,"PMP, Agile, Project Management"," £70,000 - £100,000 ",Glasgow,Project Leaders,,Project Management,,
Data Scientist,,"R, Python, Machine Learning"," £55,000 - £85,000 ",Newcastle,Data Insights,,Data Science,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £50,000 - £75,000 ",Sheffield,DevOps Solutions,,DevOps,,
IT Support Analyst,,"Windows, Linux, Troubleshooting"," £30,000 - £45,000 ",Cardiff,IT Services,,Support,,
UX/UI Designer,,"UI/UX Design, Prototyping"," £40,000 - £70,000 ",London,Design Studios,,Design,,
Database Analyst,,"SQL, Oracle, Database Management"," £40,000 - £65,000 ",Manchester,Data Solutions,,Database,,
UI Developer,,"HTML, CSS, JavaScript"," £35,000 - £55,000 ",Birmingham,Web Creations,,Web Development,,
System Administrator,,"Windows Server, Networking"," £45,000 - £70,000 ",Edinburgh,System Services,,IT Services,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £55,000 - £85,000 ",Glasgow,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £50,000 - £80,000 ",Leeds,Audit Experts,,Audit,,
Network Security Engineer,,"Security, Firewall"," £55,000 - £90,000 ",Bristol,SecureNet,,Security,,
Software Tester,,"Manual Testing, Bug Tracking"," £30,000 - £50,000 ",Newcastle,QA Solutions,,Quality Assurance,,
Cloud Solutions Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",Cardiff,Cloud Innovators,,Cloud Computing,,
IT Consultant,,"Consulting, IT Strategy"," £60,000 - £90,000 ",Birmingham,IT Consultants,,Consulting,,
Front-end Developer,,"JavaScript, React"," £40,000 - £75,000 ",Edinburgh,Web Studios,,Web Development,,
Business Analyst,,"Business Analysis, Requirements"," £45,000 - £80,000 ",Glasgow,Biz Analysts,,Business Analysis,,
IT Helpdesk Support,,"Troubleshooting, Customer Service"," £25,000 - £40,000 ",Leeds,IT Helpdesk,,Support,,
DevSecOps Engineer,,"DevSecOps, CI/CD"," £60,000 - £95,000 ",Bristol,Secure DevOps,,DevOps,,
Data Engineer,,"ETL, Big Data, SQL"," £50,000 - £85,000 ",Cardiff,Data Engineers,,Data Engineering,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Manchester,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £65,000 - £100,000 ",Birmingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £50,000 - £80,000 ",Edinburgh,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £45,000 - £75,000 ",Glasgow,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £55,000 - £90,000 ",Leeds,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £80,000 ",Cardiff,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £40,000 - £70,000 ",London,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £70,000 - £110,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £55,000 - £85,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £75,000 - £120,000 ",Edinburgh,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £45,000 - £75,000 ",Glasgow,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £50,000 - £90,000 ",Leeds,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £70,000 - £110,000 ",Cardiff,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £60,000 - £95,000 ",London,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js"," £55,000 - £90,000 ",Manchester,Full-stack Devs,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £50,000 - £85,000 ",Birmingham,IT Analysts,,Business Analysis,,
IT Trainer Assistant,,"Training, IT Education"," £30,000 - £50,000 ",Edinburgh,IT Training Assist,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £60,000 - £100,000 ",Glasgow,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £35,000 - £55,000 ",Leeds,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £70,000 - £110,000 ",Cardiff,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £40,000 - £70,000 ",London,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £45,000 - £75,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £65,000 - £100,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Cybersecurity Engineer,,"Cybersecurity, Penetration Testing"," £55,000 - £90,000 ",Edinburgh,Cybersecurity Engineers,,Security,,
IT Procurement Analyst,,Procurement Analysis," £50,000 - £85,000 ",Glasgow,Procurement Analysts,,Procurement,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Leeds,UX Designers,,Design,,
Software Engineer,,"Java, Python, Software Development"," £50,000 - £80,000 ",London,Tech Solutions,,Software Development,,
Data Analyst,,"SQL, Data Visualization"," £40,000 - £65,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Network Troubleshooting"," £45,000 - £75,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",Edinburgh,Cloud Innovators,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Analysis"," £50,000 - £80,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"PMP, Agile, Project Management"," £70,000 - £100,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"R, Python, Machine Learning"," £55,000 - £85,000 ",Sheffield,Data Insights,,Data Science,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £50,000 - £75,000 ",Cardiff,DevOps Solutions,,DevOps,,
IT Support Analyst,,"Windows, Linux, Troubleshooting"," £30,000 - £45,000 ",London,IT Services,,Support,,
UX/UI Designer,,"UI/UX Design, Prototyping"," £40,000 - £70,000 ",Manchester,Design Studios,,Design,,
Database Analyst,,"SQL, Oracle, Database Management"," £40,000 - £65,000 ",Birmingham,Data Solutions,,Database,,
UI Developer,,"HTML, CSS, JavaScript"," £35,000 - £55,000 ",Edinburgh,Web Creations,,Web Development,,
System Administrator,,"Windows Server, Networking"," £45,000 - £70,000 ",Glasgow,System Services,,IT Services,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £55,000 - £85,000 ",Leeds,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £50,000 - £80,000 ",Bristol,Audit Experts,,Audit,,
Network Security Engineer,,"Security, Firewall"," £55,000 - £90,000 ",Newcastle,SecureNet,,Security,,
Software Tester,,"Manual Testing, Bug Tracking"," £30,000 - £50,000 ",Cardiff,QA Solutions,,Quality Assurance,,
Cloud Solutions Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",London,Cloud Architects,,Cloud Computing,,
IT Consultant,,"Consulting, IT Strategy"," £60,000 - £90,000 ",Manchester,IT Consultants,,Consulting,,
Front-end Developer,,"JavaScript, React"," £40,000 - £75,000 ",Birmingham,Web Studios,,Web Development,,
Business Analyst,,"Business Analysis, Requirements"," £45,000 - £80,000 ",Edinburgh,Biz Analysts,,Business Analysis,,
IT Helpdesk Support,,"Troubleshooting, Customer Service"," £25,000 - £40,000 ",Glasgow,IT Helpdesk,,Support,,
DevSecOps Engineer,,"DevSecOps, CI/CD"," £60,000 - £95,000 ",Leeds,Secure DevOps,,DevOps,,
Data Engineer,,"ETL, Big Data, SQL"," £50,000 - £85,000 ",Bristol,Data Engineers,,Data Engineering,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Newcastle,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £65,000 - £100,000 ",Cardiff,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £50,000 - £80,000 ",Edinburgh,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £45,000 - £75,000 ",Glasgow,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £55,000 - £90,000 ",Leeds,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £80,000 ",Cardiff,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £40,000 - £70,000 ",London,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £70,000 - £110,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £55,000 - £85,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £75,000 - £120,000 ",Edinburgh,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £45,000 - £75,000 ",Glasgow,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £50,000 - £90,000 ",Leeds,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £70,000 - £110,000 ",Cardiff,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £60,000 - £95,000 ",London,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js"," £55,000 - £90,000 ",Manchester,Full-stack Devs,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £50,000 - £85,000 ",Birmingham,IT Analysts,,Business Analysis,,
IT Trainer Assistant,,"Training, IT Education"," £30,000 - £50,000 ",Edinburgh,IT Training Assist,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £60,000 - £100,000 ",Glasgow,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £35,000 - £55,000 ",Leeds,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £70,000 - £110,000 ",Cardiff,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £40,000 - £70,000 ",London,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £45,000 - £75,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £65,000 - £100,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Cybersecurity Engineer,,"Cybersecurity, Penetration Testing"," £55,000 - £90,000 ",Edinburgh,Cybersecurity Engineers,,Security,,
IT Procurement Analyst,,Procurement Analysis," £50,000 - £85,000 ",Glasgow,Procurement Analysts,,Procurement,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Leeds,UX Designers,,Design,,
Software Developer,,"Java, JavaScript, HTML/CSS"," £45,000 - £75,000 ",London,Tech Innovations,,Software Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £40,000 - £70,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £50,000 - £80,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £60,000 - £95,000 ",Edinburgh,Cloud Innovators,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £55,000 - £90,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £70,000 - £110,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £42,000 - £72,000 ",Glasgow,IT Solutions,,Support,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £55,000 - £90,000 ",London,DevOps Solutions,,DevOps,,
Database Administrator,,"SQL, Database Management"," £50,000 - £85,000 ",Manchester,Data Management,,Database,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Birmingham,UX Innovations,,Design,,
IT Consultant,,"Consulting, IT Strategy"," £75,000 - £120,000 ",Edinburgh,IT Consultancy,,Consulting,,
Software Tester,,"Manual Testing, Bug Tracking"," £40,000 - £70,000 ",Glasgow,QA Solutions,,Quality Assurance,,
IT Security Analyst,,"Security, Threat Analysis"," £50,000 - £85,000 ",Leeds,SecureIT,,Security,,
Data Engineer,,"ETL, Big Data, SQL"," £60,000 - £95,000 ",Bristol,Data Engineers,,Data Engineering,,
Front-end Developer,,"HTML, CSS, JavaScript"," £45,000 - £75,000 ",Sheffield,Web Studios,,Web Development,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £70,000 - £110,000 ",Newcastle,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £55,000 - £90,000 ",Cardiff,Audit Experts,,Audit,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Liverpool,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £70,000 - £110,000 ",Nottingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £55,000 - £90,000 ",Sheffield,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £48,000 - £80,000 ",Bristol,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £65,000 - £100,000 ",Liverpool,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £85,000 ",Nottingham,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £45,000 - £75,000 ",Sheffield,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £80,000 - £130,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £60,000 - £95,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £90,000 - £140,000 ",Nottingham,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £55,000 - £90,000 ",Sheffield,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £70,000 - £110,000 ",Liverpool,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £75,000 - £120,000 ",Nottingham,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £65,000 - £100,000 ",Manchester,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £55,000 - £90,000 ",Birmingham,Web Creations,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £60,000 - £95,000 ",Edinburgh,IT Analysts,,Business Analysis,,
IT Trainer,,"Training, IT Education"," £40,000 - £70,000 ",Glasgow,IT Training,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £75,000 - £120,000 ",Leeds,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £45,000 - £75,000 ",Sheffield,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £80,000 - £130,000 ",Nottingham,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £50,000 - £85,000 ",Liverpool,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £70,000 - £110,000 ",Birmingham,Cloud Analysts,,Cloud Computing,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
